,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
847,34,0,0,669.0,864,1,3,414,1,1184.0,4,781,97.0,2,2,116,1,423,5343.0,25755,0,1320,939,20,4,3,80,0,14,3,3,13,9,4,9
848,35,0,0,636.0,864,4,4,75,1,1185.0,4,781,47.0,2,1,231,4,614,2376.0,26537,1,1320,939,13,3,2,80,1,2,2,4,2,2,2,2
860,22,1,0,1256.0,864,3,4,543,1,1203.0,3,781,48.0,2,1,264,4,614,2853.0,4223,0,1320,381,11,3,2,80,1,1,5,3,0,0,0,0
866,40,0,0,1184.0,399,2,4,414,1,1212.0,2,781,62.0,3,2,287,2,614,4327.0,25440,5,1320,939,12,3,4,80,3,5,2,3,0,0,0,0
867,50,0,0,1421.0,864,2,3,414,1,1215.0,4,539,30.0,3,4,90,1,614,17856.0,9490,2,1320,939,22,4,3,80,1,32,3,3,2,2,2,2
872,33,0,0,1146.0,399,25,3,414,1,1220.0,2,539,82.0,3,2,287,3,614,4539.0,4905,1,1320,939,12,3,1,80,1,10,3,2,10,7,0,1
880,32,0,0,116.0,864,13,3,75,1,1234.0,3,539,77.0,2,1,231,2,614,2743.0,7331,1,1320,939,20,4,3,80,1,2,2,3,2,2,2,2
881,32,0,0,1316.0,864,2,2,543,1,1235.0,4,539,38.0,3,2,264,3,423,4998.0,2338,4,1320,381,14,3,4,80,0,10,2,3,8,7,0,7
887,42,0,0,458.0,864,26,5,414,1,1242.0,1,539,60.0,3,3,74,1,614,13191.0,23281,3,1320,381,17,3,3,80,0,20,6,3,1,0,0,0
890,54,0,0,966.0,864,1,4,543,1,1245.0,4,539,53.0,3,3,132,3,283,10502.0,9659,7,1320,939,17,3,1,80,1,33,2,1,5,4,1,4
900,36,0,0,469.0,864,3,3,118,1,1257.0,3,781,46.0,3,1,264,2,614,3692.0,9256,1,1320,939,12,3,3,80,0,12,2,2,11,10,0,7
911,25,1,0,599.0,399,24,1,543,1,1273.0,3,781,73.0,1,1,78,4,423,1118.0,8040,1,1320,381,14,3,4,80,0,1,4,3,1,0,1,0
915,21,1,0,251.0,864,10,2,543,1,1279.0,1,539,45.0,2,1,231,3,423,2625.0,25308,1,1320,939,20,4,3,80,0,2,2,1,2,2,2,2
918,51,0,0,237.0,399,9,3,543,1,1282.0,4,781,83.0,3,5,90,2,283,18034.8125,19196,4,1320,381,24,4,1,80,1,31,5,2,29,10,11,10
920,34,0,0,135.0,864,19,3,414,1,1285.0,3,539,46.0,3,2,231,2,283,4444.0,22534,4,1320,939,13,3,3,80,2,15,2,4,11,8,5,10
921,28,0,0,791.0,864,1,4,414,1,1286.0,4,781,44.0,3,1,231,3,423,2154.0,6842,0,1320,381,11,3,3,80,0,5,2,2,4,2,0,2
923,34,0,0,648.0,57,11,3,543,1,1289.0,3,781,56.0,2,2,48,2,614,4490.0,21833,4,1320,939,11,3,4,80,2,14,5,4,10,9,1,8
929,28,0,0,193.0,864,2,3,543,1,1296.0,4,781,52.0,2,1,231,4,614,3867.0,14222,1,1320,381,12,3,2,80,1,2,2,3,2,2,2,2
930,51,0,0,968.0,864,6,2,414,1,1297.0,2,539,40.0,2,1,231,3,423,2838.0,4257,0,1320,939,14,3,2,80,0,8,6,2,7,0,7,7
936,45,0,0,364.0,864,25,3,414,1,1306.0,2,539,83.0,3,5,90,2,423,18034.8125,13035,3,1320,939,22,4,3,80,0,22,4,3,0,0,0,0
952,31,1,0,1060.0,399,1,3,543,1,1331.0,4,539,54.0,3,1,78,2,423,2302.0,8319,1,1320,381,11,3,1,80,0,3,2,4,3,2,2,2
960,41,0,0,1018.0,399,1,3,147,1,1349.0,3,539,66.0,3,2,287,1,283,4103.0,4297,0,1320,939,17,3,4,80,1,10,2,3,9,3,1,7
961,35,0,0,482.0,864,4,4,543,1,1350.0,3,781,87.0,3,2,264,3,423,4249.0,2690,1,1320,381,11,3,2,80,0,9,3,3,9,6,1,1
968,36,0,0,607.0,399,7,3,147,1,1362.0,1,539,83.0,4,2,287,1,614,4639.0,2261,2,1320,939,16,3,4,80,1,17,2,2,15,7,6,13
974,27,0,0,793.0,399,2,1,543,1,1371.0,4,781,43.0,1,2,287,4,423,5071.0,20392,3,1320,939,20,4,2,80,0,8,3,3,6,2,0,0
980,31,1,0,703.0,399,2,3,543,1,1379.0,3,539,90.0,2,1,78,4,423,2785.0,11882,7,1320,939,14,3,3,80,0,3,3,4,1,0,0,0
981,35,1,0,662.0,399,18,4,147,1,1380.0,4,539,67.0,3,2,287,3,614,4614.0,23288,0,1320,381,18,3,3,80,1,5,0,2,4,2,3,2
982,38,0,0,693.0,864,7,3,543,1,1382.0,4,781,57.0,4,1,264,3,283,2610.0,15748,1,1320,939,11,3,4,80,3,4,2,3,4,2,0,3
987,51,0,0,541.0,399,2,3,147,1,1391.0,2,781,52.0,3,3,287,2,614,10596.0,15395,2,1320,939,11,3,2,80,0,14,5,3,4,2,3,2
988,41,0,0,1200.0,864,22,3,543,1,1392.0,4,539,75.0,3,2,264,4,283,5467.0,13953,3,1320,381,14,3,1,80,2,12,4,2,6,2,3,3
990,33,0,0,1111.0,399,5,1,543,1,1395.0,2,781,61.0,3,2,287,4,614,9998.0,19293,6,1320,939,13,3,1,80,0,8,2,4,5,4,1,2
994,52,0,0,322.0,864,28,2,414,1,1401.0,4,539,59.0,4,4,132,3,614,13247.0,9731,2,1320,381,11,3,2,80,1,24,3,2,5,3,0,2
1002,35,0,0,200.0,864,18,2,543,1,1412.0,3,781,60.0,3,3,132,4,423,9362.0,19944,2,1320,939,11,3,3,80,0,10,2,3,2,2,2,2
1006,49,1,0,1475.0,864,28,2,543,1,1420.0,1,781,97.0,2,2,231,1,423,4284.0,22710,3,1320,939,20,4,1,80,0,20,2,3,4,3,1,3
1007,29,1,0,337.0,864,14,1,75,1,1421.0,3,539,84.0,3,3,116,4,423,7553.0,22930,0,1320,381,12,3,1,80,0,9,1,3,8,7,7,7
1012,31,1,0,667.0,399,1,4,543,1,1427.0,2,539,50.0,1,1,78,3,423,1359.0,16154,1,1320,939,12,3,2,80,0,1,3,3,1,0,0,0
1015,34,0,0,560.0,864,1,4,75,1,1431.0,4,781,91.0,3,1,264,1,283,2996.0,20284,5,1320,939,14,3,3,80,2,10,2,3,4,3,1,3
1033,31,1,0,1445.0,864,1,5,543,1,1459.0,3,539,100.0,4,3,132,2,423,7446.0,8931,1,1320,939,11,3,1,80,0,10,2,3,10,8,4,7
1036,31,1,0,523.0,864,2,3,543,1,1464.0,2,781,94.0,3,1,231,4,614,3722.0,21081,6,1320,381,13,3,3,80,1,7,2,1,2,2,2,2
1047,33,0,0,430.0,399,7,3,414,1,1477.0,4,781,54.0,3,2,287,1,614,4373.0,17456,0,1320,939,14,3,1,80,2,5,2,3,4,3,0,3
1050,42,0,0,748.0,864,9,2,414,1,1480.0,1,539,74.0,3,1,231,4,423,3673.0,16458,1,1320,939,13,3,3,80,0,12,3,3,12,9,5,8
1051,44,0,0,383.0,399,1,5,147,1,1481.0,1,539,79.0,3,2,287,3,614,4768.0,9282,7,1320,939,12,3,3,80,1,11,4,2,1,0,0,0
1055,34,0,0,829.0,864,15,3,414,1,1485.0,2,781,71.0,3,4,74,1,283,17007.0,11929,7,1320,939,14,3,4,80,2,16,3,2,14,8,6,9
1056,28,1,0,1496.0,399,1,3,118,1,1486.0,1,781,92.0,3,1,78,3,614,2909.0,15747,3,1320,939,15,3,4,80,1,5,3,4,3,2,1,2
1057,29,1,0,115.0,399,13,3,118,1,1487.0,1,539,51.0,3,2,287,2,423,5765.0,17485,5,1320,939,11,3,1,80,0,7,4,1,5,3,0,0
1060,24,1,0,381.0,864,9,3,414,1,1494.0,2,781,89.0,3,1,231,1,423,3172.0,16998,2,1320,381,11,3,3,80,0,4,2,2,0,0,0,0
1062,44,0,0,1193.0,864,2,1,414,1,1496.0,2,781,86.0,3,3,132,3,423,10209.0,19719,5,1320,381,18,3,2,80,0,16,2,2,2,2,2,2
1068,28,1,0,289.0,864,2,2,414,1,1504.0,3,781,38.0,2,1,231,1,423,2561.0,5355,7,1320,939,11,3,3,80,0,8,2,2,0,0,0,0
1070,28,0,0,467.0,399,7,3,543,1,1507.0,3,781,55.0,3,2,287,1,423,4898.0,11827,0,1320,939,14,3,4,80,0,5,5,3,4,2,1,3
1072,29,0,0,410.0,864,2,1,543,1,1513.0,4,539,97.0,3,1,231,2,614,3180.0,4668,0,1320,939,13,3,3,80,3,4,3,3,3,2,0,2
1076,54,0,0,1050.0,864,11,4,414,1,1520.0,2,539,87.0,3,4,90,4,283,16032.0,24456,3,1320,939,20,4,1,80,1,26,2,3,14,9,1,12
1085,31,1,0,561.0,864,3,3,543,1,1537.0,4,539,33.0,3,1,264,3,423,4084.0,4156,1,1320,939,12,3,1,80,0,7,2,1,7,2,7,7
1086,50,0,0,333.0,864,22,5,414,1,1539.0,3,781,88.0,1,4,74,4,423,14411.0,24450,1,1320,381,13,3,4,80,0,32,2,3,32,6,13,9
1093,42,0,0,288.0,864,2,3,543,1,1547.0,4,781,40.0,3,3,116,4,614,10124.0,18611,2,1320,381,14,3,3,80,1,24,3,1,20,8,13,9
1107,38,0,0,888.0,57,10,4,23,1,1563.0,3,781,71.0,3,2,48,3,614,6077.0,14814,3,1320,939,11,3,3,80,0,10,2,3,6,3,1,2
1125,29,0,0,995.0,864,2,1,543,1,1590.0,1,781,87.0,3,2,116,4,283,8853.0,24483,1,1320,939,19,3,4,80,1,6,0,4,6,4,1,3
1128,36,0,0,1302.0,864,6,4,543,1,1594.0,1,781,80.0,4,2,231,1,614,5562.0,19711,3,1320,381,13,3,4,80,1,9,3,3,3,2,0,2
1131,34,0,0,653.0,864,10,4,118,1,1597.0,4,781,92.0,2,2,116,3,614,5063.0,15332,1,1320,939,14,3,2,80,1,8,3,2,8,2,7,7
1138,50,0,0,1234.0,864,20,5,414,1,1606.0,2,781,41.0,3,4,116,3,614,11245.0,20689,2,1320,381,15,3,3,80,1,32,3,3,30,8,12,13
1144,31,0,0,715.0,399,2,4,75,1,1613.0,4,781,54.0,3,2,287,1,423,5332.0,21602,7,1320,939,13,3,4,80,0,10,3,3,5,2,0,3
1146,34,0,0,426.0,864,10,4,543,1,1615.0,3,781,42.0,4,2,132,4,283,4724.0,17000,1,1320,939,13,3,1,80,1,9,3,3,9,7,7,2
1153,18,1,0,544.0,399,3,2,414,1,1624.0,2,539,70.0,3,1,78,4,423,1569.0,18420,1,1320,381,12,3,3,80,0,0,2,4,0,0,0,0
1159,39,0,0,711.0,864,4,3,414,1,1633.0,1,539,81.0,3,2,132,3,423,5042.0,3140,0,1320,939,13,3,4,80,0,10,2,1,9,2,3,8
1165,44,0,0,602.0,57,1,5,23,1,1642.0,1,781,37.0,3,2,48,4,614,5743.0,10503,4,1320,381,11,3,3,80,0,14,3,3,10,7,0,2
1166,48,0,0,365.0,864,4,5,414,1,1644.0,3,781,89.0,2,4,90,4,614,15202.0,5602,2,1320,939,25,4,2,80,1,23,3,3,2,2,2,2
1168,24,0,0,567.0,864,2,1,118,1,1646.0,1,539,32.0,3,1,264,4,423,3760.0,17218,1,1320,381,13,3,3,80,0,6,2,3,6,3,1,3
1170,27,0,0,591.0,864,2,3,414,1,1648.0,4,781,87.0,3,1,264,4,423,2580.0,6297,2,1320,939,13,3,3,80,0,6,0,2,4,2,1,2
1174,25,0,0,772.0,864,2,1,543,1,1653.0,4,781,77.0,4,2,132,3,283,5206.0,4973,1,1320,939,17,3,3,80,2,7,6,3,7,7,0,7
1186,35,1,0,880.0,399,12,4,75,1,1667.0,4,781,36.0,3,2,287,4,423,4581.0,10414,3,1320,381,24,4,1,80,0,13,2,4,11,9,6,7
1187,38,0,0,1189.0,864,1,3,543,1,1668.0,4,781,90.0,3,2,264,4,614,4735.0,9867,7,1320,939,15,3,4,80,2,19,4,4,13,11,2,9
1193,38,0,0,148.0,864,2,3,414,1,1675.0,4,539,42.0,2,1,231,2,423,2440.0,23826,1,1320,939,22,4,2,80,0,4,3,3,4,3,3,3
1204,48,1,0,708.0,399,7,2,414,1,1691.0,4,539,95.0,3,1,78,3,614,2655.0,11740,2,1320,381,11,3,3,80,2,19,3,3,9,7,7,7
1211,37,0,0,1278.0,399,1,4,414,1,1700.0,3,781,31.0,1,2,287,4,283,9525.0,7677,1,1320,939,14,3,3,80,2,6,2,2,6,3,1,3
1215,35,0,0,146.0,864,2,4,414,1,1704.0,1,781,79.0,2,1,264,4,423,4930.0,13970,0,1320,381,14,3,3,80,0,6,2,4,5,4,1,4
1223,47,1,0,1093.0,399,9,3,543,1,1716.0,3,781,82.0,1,4,287,3,614,12936.0,24164,7,1320,939,11,3,3,80,0,25,3,1,23,5,14,10
1226,32,0,0,585.0,864,10,3,543,1,1720.0,1,781,56.0,3,1,264,3,614,3433.0,17360,6,1320,939,13,3,1,80,1,10,3,2,5,2,1,3
1239,31,0,0,163.0,864,24,1,118,1,1736.0,4,539,30.0,3,2,132,4,423,5238.0,6670,2,1320,939,20,4,4,80,0,9,3,2,5,4,1,4
1244,30,0,0,1312.0,864,2,4,118,1,1745.0,4,539,78.0,2,1,264,1,423,4968.0,26427,0,1320,939,16,3,4,80,0,10,2,3,9,7,0,7
1245,24,0,0,897.0,57,10,3,414,1,1746.0,1,781,59.0,3,1,48,4,614,2145.0,2097,0,1320,939,14,3,4,80,1,3,2,3,2,2,2,1
1246,30,1,0,600.0,57,8,3,23,1,1747.0,3,539,66.0,2,1,48,4,283,2180.0,9732,6,1320,939,11,3,3,80,1,6,0,2,4,2,1,2
1250,29,0,0,461.0,864,1,3,543,1,1753.0,4,781,70.0,4,2,116,3,423,6294.0,23060,8,1320,381,12,3,4,80,0,10,5,4,3,2,0,2
1256,38,0,0,594.0,864,2,2,414,1,1760.0,3,539,75.0,2,1,231,2,614,2468.0,15963,4,1320,939,14,3,2,80,1,9,4,2,6,1,0,5
1262,43,1,0,807.0,864,17,3,118,1,1767.0,3,781,38.0,2,1,264,3,614,2437.0,15587,9,1320,381,16,3,4,80,1,6,4,3,1,0,0,0
1279,44,1,0,429.0,864,1,2,414,1,1792.0,3,781,99.0,3,1,264,2,283,2342.0,11092,1,1320,381,12,3,3,80,3,6,2,2,5,3,2,3
1290,34,1,0,234.0,864,9,4,543,1,1807.0,4,781,93.0,3,2,231,1,614,5346.0,6208,4,1320,939,17,3,3,80,1,11,3,2,7,1,0,7
1292,39,0,0,766.0,399,20,3,543,1,1812.0,3,781,83.0,3,2,287,4,283,4127.0,19188,2,1320,939,18,3,4,80,1,7,6,3,2,1,2,2
1306,31,0,0,1125.0,399,7,4,147,1,1833.0,1,539,68.0,3,3,287,1,614,9637.0,8277,2,1320,939,14,3,4,80,2,9,3,3,3,2,2,2
1310,58,0,0,1216.0,864,15,4,543,1,1837.0,1,781,87.0,3,4,74,3,614,15787.0,21624,2,1320,381,14,3,2,80,0,23,3,3,2,2,2,2
1316,43,0,0,1422.0,399,2,4,543,1,1849.0,1,781,92.0,3,2,287,4,614,5675.0,19246,1,1320,939,20,4,3,80,1,7,5,3,7,7,7,7
1317,27,0,0,1297.0,864,5,2,543,1,1850.0,4,539,53.0,3,1,231,4,423,2379.0,19826,0,1320,381,14,3,3,80,0,6,3,2,5,4,0,2
1318,29,0,0,574.0,864,20,1,414,1,1852.0,4,781,40.0,3,1,231,4,614,3812.0,7003,1,1320,939,13,3,2,80,0,11,3,4,11,8,3,10
1319,32,0,0,1318.0,399,10,4,147,1,1853.0,4,781,79.0,3,2,287,4,423,4648.0,26075,8,1320,939,13,3,3,80,0,4,2,4,0,0,0,0
1332,29,1,0,459.0,864,24,2,543,1,1868.0,4,781,73.0,2,1,264,4,423,2439.0,14753,1,1320,381,24,4,2,80,0,1,3,2,1,0,1,0
1334,27,0,0,1131.0,864,15,3,543,1,1870.0,4,539,77.0,2,1,264,1,614,4774.0,23844,0,1320,939,19,3,4,80,1,8,2,2,7,6,7,3
1347,36,0,0,1213.0,57,2,1,23,1,1890.0,2,781,94.0,2,2,48,4,423,3886.0,4223,1,1320,939,21,4,4,80,0,10,2,2,10,1,0,8
1351,48,0,0,117.0,864,22,3,414,1,1900.0,4,539,58.0,3,4,90,4,283,17174.0,2437,3,1320,939,11,3,2,80,1,24,3,3,22,17,4,7
1361,26,0,0,1096.0,864,6,3,75,1,1918.0,3,781,61.0,4,1,231,4,614,2544.0,7102,0,1320,939,18,3,1,80,1,8,3,3,7,7,7,7
1362,45,0,0,1297.0,864,1,4,414,1,1922.0,2,781,44.0,3,2,116,3,423,5399.0,14511,4,1320,939,12,3,3,80,0,12,3,3,4,2,0,3
1364,28,0,0,783.0,399,1,2,543,1,1927.0,3,781,42.0,2,2,287,4,614,6834.0,19255,1,1320,381,12,3,3,80,1,7,2,3,7,7,0,7
1365,29,1,0,746.0,399,24,3,118,1,1928.0,3,781,45.0,4,1,78,1,423,1091.0,10642,1,1320,939,17,3,4,80,0,1,3,3,1,0,0,0
1368,34,0,0,735.0,864,22,4,75,1,1932.0,3,781,86.0,2,2,264,4,614,5747.0,26496,1,1320,381,15,3,2,80,0,16,3,3,15,10,6,11
1373,38,0,0,1394.0,864,8,3,414,1,1937.0,4,539,58.0,2,2,264,2,283,2133.0,18115,1,1320,381,16,3,3,80,1,20,3,3,20,11,0,7
1375,32,1,0,238.0,864,5,2,543,1,1939.0,1,539,47.0,4,1,264,3,423,2432.0,15318,3,1320,381,14,3,1,80,0,8,2,3,4,1,0,3
1377,49,0,0,1064.0,864,2,1,543,1,1941.0,2,781,42.0,3,5,74,4,614,18034.8125,13738,3,1320,939,15,3,4,80,0,28,3,3,5,4,4,3
1379,27,1,0,1337.0,57,22,3,23,1,1944.0,1,539,58.0,2,1,48,2,614,2863.0,19555,1,1320,939,12,3,1,80,0,1,2,3,1,0,0,0
1389,31,0,0,1125.0,864,1,3,543,1,1956.0,4,781,48.0,1,2,264,1,614,5003.0,5771,1,1320,939,21,4,2,80,0,10,6,3,10,8,8,7
1395,31,1,0,754.0,399,26,4,147,1,1967.0,1,781,63.0,3,2,287,4,614,5617.0,21075,1,1320,381,11,3,3,80,0,10,4,3,10,7,0,8
1398,33,0,0,1303.0,864,7,2,543,1,1970.0,4,781,36.0,3,2,116,3,283,5968.0,18079,1,1320,939,20,4,3,80,3,9,2,3,9,7,2,8
1400,38,0,0,1444.0,57,1,4,75,1,1972.0,4,781,88.0,3,1,48,2,614,2991.0,5224,0,1320,381,11,3,2,80,1,7,2,3,6,2,1,2
1409,40,0,0,692.0,864,11,3,118,1,1985.0,4,539,73.0,3,2,231,3,614,6323.0,26849,1,1320,939,11,3,1,80,1,10,2,4,10,9,9,4
1418,38,0,0,508.0,864,6,4,543,1,1997.0,1,781,72.0,2,2,132,3,614,5321.0,14284,2,1320,939,11,3,4,80,1,10,1,3,8,3,7,7
1438,23,1,0,638.0,399,9,3,147,1,2023.0,4,781,33.0,3,1,78,1,614,1790.0,26956,1,1320,939,19,3,1,80,1,1,3,2,1,0,1,0
1440,36,0,0,688.0,864,4,2,543,1,2025.0,4,539,97.0,3,2,132,2,283,5131.0,9192,7,1320,939,13,3,2,80,3,18,3,3,4,2,0,2
1452,50,1,0,878.0,399,1,4,543,1,2044.0,2,781,94.0,3,2,287,3,283,6728.0,14255,7,1320,939,12,3,4,80,2,12,3,3,6,3,0,1
1456,35,0,0,1199.0,864,18,4,543,1,2049.0,3,781,80.0,3,2,116,3,614,5689.0,24594,1,1320,381,14,3,4,80,2,10,2,4,10,2,0,2
1465,36,0,0,884.0,864,23,2,414,1,2061.0,3,781,41.0,4,2,231,4,614,2571.0,12290,4,1320,939,17,3,3,80,1,17,3,3,5,2,0,3
1468,49,0,0,1023.0,399,2,3,414,1,2065.0,4,781,63.0,2,2,287,2,614,5390.0,13243,2,1320,939,14,3,4,80,0,17,3,2,9,6,0,8
0,41,1,1,1102.0,399,1,2,543,1,1.0,2,539,94.0,3,2,287,4,423,5993.0,19479,8,1320,381,11,3,1,80,0,8,0,1,6,4,0,5
2,37,1,1,1373.0,864,2,2,75,1,4.0,4,781,92.0,2,1,231,3,423,2090.0,2396,6,1320,381,15,3,2,80,0,7,3,3,0,0,0,0
4,27,0,1,591.0,864,2,1,414,1,7.0,1,781,40.0,3,1,231,2,614,3468.0,16632,9,1320,939,12,3,4,80,1,6,3,3,2,2,2,2
6,59,0,1,1324.0,864,3,3,414,1,10.0,3,539,81.0,4,1,231,1,614,2670.0,9964,4,1320,381,20,4,1,80,3,12,3,2,1,0,0,0
7,30,0,1,1358.0,864,24,1,543,1,11.0,4,781,67.0,3,1,231,3,283,2693.0,13335,1,1320,939,22,4,2,80,1,1,2,3,1,0,0,0
9,36,0,1,1299.0,864,27,3,414,1,13.0,3,781,94.0,3,2,116,3,614,5237.0,16577,6,1320,939,13,3,2,80,2,17,3,2,7,7,7,7
10,35,0,1,809.0,864,16,3,414,1,14.0,1,781,84.0,4,1,231,2,614,2426.0,16479,0,1320,939,13,3,3,80,1,6,5,3,5,4,0,3
11,29,0,1,153.0,864,15,2,543,1,15.0,4,539,49.0,2,2,231,3,423,4193.0,12682,0,1320,381,12,3,4,80,0,10,3,3,9,5,0,8
12,31,0,1,670.0,864,26,1,543,1,16.0,1,781,31.0,3,1,264,3,283,2911.0,15170,1,1320,939,17,3,4,80,1,5,1,2,5,2,4,3
13,34,0,1,1346.0,864,19,2,414,1,18.0,2,781,93.0,3,1,231,4,283,2661.0,8758,0,1320,939,11,3,3,80,1,3,2,3,2,2,1,2
14,28,1,1,103.0,864,24,3,543,1,19.0,3,781,50.0,2,1,231,3,423,2028.0,12947,5,1320,381,14,3,2,80,0,6,4,3,4,2,0,3
15,29,0,1,1389.0,864,21,4,543,1,20.0,2,539,51.0,4,3,132,1,283,9980.0,10195,1,1320,939,11,3,3,80,1,10,1,3,10,9,8,8
16,32,0,1,334.0,864,5,2,543,1,21.0,1,781,80.0,4,1,264,2,283,3298.0,15053,0,1320,381,12,3,4,80,2,7,5,2,6,2,0,5
18,53,0,1,1219.0,399,2,4,543,1,23.0,1,539,78.0,2,4,90,4,614,15427.0,22021,2,1320,939,16,3,3,80,0,31,3,3,25,8,3,7
19,38,0,1,371.0,864,2,3,543,1,24.0,4,781,45.0,3,1,264,4,423,3944.0,4306,5,1320,381,11,3,3,80,0,6,3,3,3,2,1,2
21,36,1,1,1218.0,399,9,4,543,1,27.0,3,781,82.0,2,1,78,1,423,3407.0,6986,7,1320,939,23,4,2,80,0,10,4,3,5,3,0,3
22,34,0,1,419.0,864,7,4,543,1,28.0,1,539,53.0,3,3,74,2,423,11994.0,21293,0,1320,939,11,3,3,80,0,13,4,3,12,6,2,11
23,21,0,1,391.0,864,15,2,543,1,30.0,3,781,96.0,3,1,264,4,423,1232.0,19281,1,1320,939,14,3,4,80,0,0,6,3,0,0,0,0
24,34,1,1,699.0,864,6,1,414,1,31.0,2,781,83.0,3,1,264,1,423,2960.0,17102,2,1320,939,11,3,3,80,0,8,2,3,4,2,1,3
25,53,0,1,1282.0,864,5,3,75,1,32.0,3,539,58.0,3,5,90,3,283,18034.8125,10735,4,1320,939,11,3,4,80,1,26,3,2,14,13,4,8
27,42,0,1,691.0,399,8,4,147,1,35.0,3,781,48.0,3,2,287,2,614,6825.0,21173,0,1320,939,11,3,4,80,1,10,2,3,9,7,4,2
28,44,0,1,477.0,864,7,4,414,1,36.0,1,539,42.0,2,3,116,4,614,10248.0,2094,3,1320,939,14,3,4,80,1,24,4,3,22,6,5,17
29,46,0,1,705.0,399,2,4,147,1,38.0,2,539,83.0,3,5,90,1,423,18034.8125,22822,3,1320,939,12,3,4,80,0,22,2,2,2,2,2,1
30,33,0,1,924.0,864,2,3,414,1,39.0,3,781,78.0,3,1,231,4,423,2496.0,6670,4,1320,939,11,3,4,80,0,7,3,3,1,1,0,0
31,44,0,1,1459.0,864,10,4,75,1,40.0,4,781,41.0,3,2,116,4,614,6465.0,19121,2,1320,381,13,3,4,80,0,9,5,4,4,2,1,3
32,30,0,1,125.0,864,9,2,414,1,41.0,4,781,83.0,2,1,231,3,423,2206.0,16117,1,1320,939,13,3,1,80,0,10,5,3,10,0,1,8
33,39,1,1,895.0,399,5,3,118,1,42.0,4,781,56.0,3,2,78,4,614,2086.0,3335,3,1320,939,14,3,3,80,1,19,6,4,1,0,0,0
34,24,1,1,813.0,864,1,3,414,1,45.0,2,781,61.0,3,1,264,4,614,2293.0,3020,2,1320,381,16,3,1,80,1,6,2,2,2,0,2,0
35,43,0,1,1273.0,864,2,2,414,1,46.0,4,539,72.0,4,1,264,3,283,2645.0,21923,1,1320,939,12,3,4,80,2,6,3,2,5,3,1,4
36,50,1,1,869.0,399,3,2,147,1,47.0,1,781,86.0,2,1,78,3,614,2683.0,3810,1,1320,381,14,3,3,80,0,3,2,3,3,2,0,2
37,35,0,1,890.0,399,2,3,147,1,49.0,4,539,97.0,3,1,78,4,614,2014.0,9687,1,1320,939,13,3,1,80,0,2,3,3,2,2,2,2
38,36,0,1,852.0,864,5,4,543,1,51.0,2,539,82.0,2,1,264,1,614,3419.0,13072,9,1320,381,14,3,4,80,1,6,3,4,1,1,0,0
40,35,0,1,464.0,864,4,2,75,1,53.0,3,781,75.0,3,1,231,4,283,1951.0,10910,1,1320,939,12,3,3,80,1,1,3,3,1,0,0,0
41,27,0,1,1240.0,864,2,4,543,1,54.0,4,539,33.0,3,1,231,1,283,2341.0,19715,1,1320,939,13,3,4,80,1,1,6,3,1,0,0,0
42,26,1,1,1357.0,864,25,3,543,1,55.0,1,781,48.0,1,1,231,3,423,2293.0,10558,1,1320,939,12,3,3,80,0,1,2,2,1,0,0,1
45,41,1,1,1360.0,864,12,3,118,1,58.0,2,539,49.0,3,5,74,3,614,18034.8125,16280,1,1320,939,12,3,4,80,0,23,0,3,22,15,15,8
47,37,0,1,408.0,864,19,2,543,1,61.0,2,781,73.0,3,1,264,2,614,3022.0,10227,4,1320,939,21,4,1,80,0,8,1,3,1,0,0,0
49,35,0,1,1229.0,864,8,1,543,1,63.0,4,781,36.0,4,1,231,4,614,2269.0,4892,1,1320,939,19,3,4,80,0,1,2,3,1,0,0,1
50,48,1,1,626.0,864,1,2,543,1,64.0,1,781,98.0,2,3,231,3,423,5381.0,19294,9,1320,381,13,3,4,80,0,23,2,3,1,0,0,0
51,28,1,1,1434.0,864,5,4,118,1,65.0,3,781,50.0,3,1,231,3,423,3441.0,11179,1,1320,381,13,3,3,80,0,2,3,2,2,2,2,2
52,44,0,1,1488.0,399,1,5,147,1,68.0,2,539,75.0,3,2,287,1,283,5454.0,4009,5,1320,381,21,4,3,80,1,9,2,2,4,3,1,3
54,26,0,1,1443.0,399,23,3,147,1,72.0,3,539,47.0,2,2,287,4,614,4157.0,21436,7,1320,381,19,3,3,80,1,5,2,2,2,2,0,0
57,35,0,1,1142.0,864,23,4,414,1,75.0,3,539,30.0,3,1,231,1,614,4014.0,16002,3,1320,381,15,3,3,80,1,4,3,3,2,2,2,2
58,31,0,1,655.0,864,7,4,543,1,76.0,4,781,48.0,3,2,231,4,283,5915.0,9528,3,1320,939,22,4,4,80,1,10,3,2,7,7,1,7
59,37,0,1,1115.0,864,1,4,543,1,77.0,1,781,51.0,2,2,132,3,283,5993.0,2689,1,1320,939,18,3,3,80,1,7,2,4,7,5,0,7
